date,region,precipitation,temperature,reservoir_level,turbine_efficiency,flow_rate,power_generation
2010-01-31,East,251.86003879101563,10.526797048260876,58.44675315360823,80.26188913176668,807.7105129739969,87.06548510152197
2010-02-28,West,274.02282498087334,20.731528737694127,63.92951695159793,93.27074744033422,180.46990208103358,73.93170201697825
2010-03-31,North,129.50086874296596,13.330115619660667,58.85052421383734,83.56071933739503,475.8226982064355,180.76753498883025
2010-04-30,East,77.51298113191919,16.8246715726374,54.43512668785278,99.2214063493891,891.2064768059482,82.88209810370665
2010-05-31,East,106.98379063548542,32.658592351061,56.03179355503004,82.97325455506225,950.2588200622693,196.37978837286968
2010-06-30,West,156.77694715656406,10.44410551203097,73.03893840163629,88.29248247454048,520.6613601248828,100.53436876566602
2010-07-31,North,254.50369148062327,33.44762255295657,60.31668592028963,81.70699336157287,652.070250289637,77.31768735330489
2010-08-31,North,265.18264581408584,31.21402567824255,68.21349305240378,99.93748503691894,250.3305514828677,168.45477607137187
2010-09-30,East,51.738032632797676,2.8316453915718576,75.17086354274284,90.04390020662485,992.0517635232789,148.80616632513141
2010-10-31,South,177.68682564439143,-2.225547964993382,84.51974143146826,91.90770034640087,308.5045312450991,124.72935746797084
2010-11-30,East,154.35275078719474,-0.9688799449029339,51.965606992054944,81.34152954776854,948.458596721613,133.30453264064468
2010-12-31,East,105.52695261768255,-4.271126973938011,89.97051994545214,94.99920940798356,684.6819840931316,157.88026674083957
2011-01-31,East,79.9663418334207,-1.2222815697628642,81.39501947454539,84.19811186191171,646.9631153909733,84.2682111996948
2011-02-28,East,134.403792850907,22.320270936654275,54.08795159744359,97.96108578881427,561.4196599148577,199.45008740851128
2011-03-31,West,285.72742597812976,-2.1524540615908405,93.67893120533887,84.10279280964015,307.6028305459828,196.21897432201746
2011-04-30,North,130.80073300518882,7.759025211750451,96.04362002659066,83.81375441327333,258.87522880495743,147.54885295204053
2011-05-31,West,179.6976554358415,28.79501243877818,53.05389799274319,80.7309933569619,298.4375881631578,79.93136763937177
2011-06-30,West,225.75473972379447,-4.069122570566965,63.843882407360184,89.44133890219999,267.7944359298291,152.0342363646937
2011-07-31,West,140.9074005948235,27.578739303557434,90.31006398965306,91.29682266525234,801.626026210078,60.829761346876374
2011-08-31,East,292.9455206802402,6.274190990935997,87.41298451918291,81.31417278856705,415.1127332500571,54.597875330870906
2011-09-30,South,290.6118237355278,-0.2734068951337498,59.226050967818864,95.51055233390021,152.05840890705673,88.65243327668205
2011-10-31,North,112.94557395634104,22.869486614566025,60.467466166835514,89.06577669496055,972.1923671267302,119.39344351089744
2011-11-30,South,174.31212647309636,20.15771387119536,68.5236051395691,90.4878053865516,895.4072964670831,180.24087581125707
2011-12-31,West,125.21957745419242,30.098880541082117,74.22614925955106,88.81525493876457,934.9770548756917,159.0753604649462
